BuildingType,Electricity(kBtu),GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),buildingAge
NonResidential,572307.0,1.62,Hotel,47.61301,"Hotel, Parking, Retail Store, Swimming Pool",-122.32929,4755745.0,EAST,8.0,32.0,Hotel,128375.0,30301.0,158676.0,58.0,58.79999924,0.0,256.57,1.0,112676.0,91.33333333333333,45.5,46.29999924,5328051.5,5424942.0,25.0
NonResidential,5610706.0,1.91,Hotel,47.61784,Hotel,-122.32966,5451210.0,DOWNTOWN,10.0,33.0,Hotel,133585.0,38281.0,171866.0,181.1000061,180.6000061,0.0,328.63,1.0,128909.0,57.0,85.80000305,86.69999695,11061916.0,11171407.0,15.0
NonResidential,2346349.0,1.88,Hotel,47.61558,Hotel,-122.34186,2110365.0,DOWNTOWN,5.0,35.0,Hotel,52210.0,16200.0,68410.0,199.6999969,206.3000031,0.0,128.44,1.0,47994.0,57.0,92.90000153,95.0,4456714.5,4557974.0,38.0
School,1947601.0,1.68,K-12 School,47.70994,K-12 School,-122.29301,4831572.0,NORTH,2.0,36.0,K-12 School,160645.0,0.0,160645.0,68.09999847,75.69999695,0.0,270.18,1.0,164229.0,75.0,41.29999924,47.5,6779173.0,7800349.5,67.0
School,1496816.0,0.2,K-12 School,47.6329,K-12 School,-122.35172,0.0,MAGNOLIA / QUEEN ANNE,2.0,37.0,K-12 School,51582.0,0.0,51582.0,0.0,0.0,0.0,10.43,1.0,55166.0,99.66666666666667,0.0,0.0,0.0,0.0,27.0
NonResidential,1352843.0,1.81,Office,47.6641,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",-122.33118,2793077.0,LAKE UNION,3.0,38.0,Small- and Mid-Sized Office,87262.0,0.0,87262.0,106.5,115.9000015,0.0,157.77,1.0,40943.0,68.0,61.5,69.80000305,4145920.5,4703690.0,110.0
NonResidential,3016399.0,2.63,Hotel,47.66583,Hotel,-122.29965,3652169.0,NORTHEAST,4.0,40.0,Hotel,81871.0,0.0,81871.0,162.5,164.8999939,0.0,215.0,1.0,81871.0,29.0,81.5,82.19999695,6668568.5,6731281.5,22.0
NonResidential,281265.0,0.04,Self-Storage Facility,47.66172,Self-Storage Facility,-122.29598,37100.0,NORTHEAST,2.0,41.0,Self-Storage Facility,110356.0,0.0,110356.0,35.20000076,35.5,0.0,3.93,1.0,26225.0,90.33333333333333,12.10000038,12.39999962,318364.8125,326223.0938,61.0
Campus,150476283.0,34.09,Office,47.53493,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",-122.31788,297909000.0,GREATER DUWAMISH,3.0,43.0,Mixed Use Property,494835.0,0.0,494835.0,388.2000122,400.2999878,0.0,16870.98,1.0,757027.0,8.0,221.6999969,233.1000061,448385312.0,471613856.0,24.0
NonResidential,44731153.0,0.44,Non-Refrigerated Warehouse,47.51138,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",-122.28875,0.0,GREATER DUWAMISH,2.0,46.0,Warehouse,714095.0,0.0,714095.0,145.8999939,143.8000031,0.0,311.84,3.0,616000.0,57.0,46.40000153,45.79999924,44731160.0,44110016.0,55.0
School,1217589.0,0.57,K-12 School,47.65671,K-12 School,-122.39047,432690.0,MAGNOLIA / QUEEN ANNE,2.0,50.0,K-12 School,54986.0,0.0,54986.0,77.80000305,83.19999695,0.0,31.47,1.0,54986.0,97.0,30.0,32.79999924,1650279.25,1802471.375,26.0
School,1599684.0,1.52,K-12 School,47.68252,K-12 School,-122.29498,4799443.0,NORTHEAST,2.0,51.0,K-12 School,175565.0,0.0,175565.0,55.0,60.40000153,0.0,266.05,1.0,182861.0,88.0,35.0,40.09999847,6399127.5,7329817.5,66.0
NonResidential,4291585.0,1.38,Office,47.66587,"Non-Refrigerated Warehouse, Office",-122.38476,1894876.0,BALLARD,2.0,52.0,Small- and Mid-Sized Office,94900.0,0.0,94900.0,163.0,165.8999939,0.0,130.56,1.0,55586.0,57.0,65.19999695,68.90000153,6186461.5,6536359.5,55.0
NonResidential,1579749.0,1.6,Office,47.58034,"Office, Other - Education",-122.31132,1371582.0,GREATER DUWAMISH,2.0,53.0,Small- and Mid-Sized Office,52554.0,0.0,52554.0,108.6999969,112.3000031,0.0,83.86,1.0,51029.0,83.0,50.09999847,53.5,2951331.25,3150635.5,116.0
NonResidential,2679739.0,1.42,K-12 School,47.68891,K-12 School,-122.33553,4315001.0,NORTHWEST,3.0,54.0,K-12 School,175015.0,0.0,175015.0,74.0,80.40000153,0.0,247.85,1.0,175015.0,95.0,40.0,45.09999847,6994740.5,7886505.5,62.0
NonResidential,1500229.0,0.64,Self-Storage Facility,47.61351,"Office, Self-Storage Facility, Vocational School",-122.35129,658400.0,DOWNTOWN,3.0,55.0,Self-Storage Facility,70586.0,0.0,70586.0,76.59999847,79.19999695,0.0,45.43,1.0,38439.0,39.0,30.60000038,33.09999847,2158629.0,2331573.25,105.0
NonResidential,12204406.0,0.89,Hotel,47.60946,Hotel,-122.33337,3958787.0,DOWNTOWN,24.0,56.0,Hotel,126240.0,205970.0,332210.0,121.8000031,121.8000031,0.0,295.33,1.0,348630.0,67.0,46.40000153,46.40000153,16163194.0,16163194.0,47.0
NonResidential,9536160.0,0.4,Office,47.6113,"Data Center, Office, Retail Store",-122.33659,0.0,DOWNTOWN,5.0,57.0,Large Office,168115.0,0.0,168115.0,176.6000061,176.6000061,0.0,66.48,1.0,103362.0,78.0,56.29999924,56.29999924,9536161.0,9536161.0,43.0
NonResidential,714939.0,0.58,Other - Mall,47.61076,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",-122.33765,532423.0,DOWNTOWN,2.0,58.0,Other,57428.0,0.0,57428.0,48.79999924,48.40000153,0.0,33.26,1.0,51747.0,81.33333333333333,21.70000076,21.60000038,1247362.0,1239429.75,96.0
NonResidential,5071973.0,0.6,Office,47.61048,"Office, Retail Store",-122.33794,0.0,DOWNTOWN,8.0,59.0,Small- and Mid-Sized Office,59400.0,0.0,59400.0,398.7000122,412.2000122,0.0,35.36,1.0,34947.0,14.0,85.40000153,88.30000305,5071974.0,5242479.5,106.0
NonResidential,4632459.0,11.12,Other - Entertainment/Public Assembly,47.60886,"Office, Other - Entertainment/Public Assembly, Restaurant",-122.33744,10393737.0,DOWNTOWN,2.0,60.0,Mixed Use Property,52549.0,0.0,52549.0,485.2999878,495.5,0.0,584.31,1.0,23500.0,77.66666666666667,286.3999939,299.0,15026196.0,15683742.0,90.0
NonResidential,4290059.0,0.6,Hotel,47.61233,"Hotel, Parking, Restaurant",-122.33432,551288.0,DOWNTOWN,20.0,62.0,Hotel,88591.0,10043.0,98634.0,158.6000061,167.0,0.0,59.19,1.0,83591.0,71.0,54.59999847,57.29999924,4841347.5,5078816.0,86.0
NonResidential,45545529.0,2.47,Hotel,47.61087,"Hotel, Parking, Swimming Pool",-122.33339,23324992.0,DOWNTOWN,34.0,63.0,Hotel,847518.0,146694.0,994212.0,182.5,184.5,11598686.0,2451.58,1.0,994212.0,63.0,80.90000153,82.80000305,80469216.0,82318072.0,34.0
NonResidential,3243900.0,1.89,Hotel,47.60997,"Hotel, Parking, Restaurant, Retail Store",-122.34138,2104408.0,DOWNTOWN,7.0,65.0,Hotel,71150.0,0.0,71150.0,215.8999939,215.8999939,0.0,134.38,1.0,41340.0,98.0,93.09999847,93.09999847,5348309.0,5348309.0,31.0
NonResidential,1293561.0,1.85,Hotel,47.61155,"Hotel, Other - Entertainment/Public Assembly, Retail Store",-122.34114,4107716.0,DOWNTOWN,7.0,66.0,Hotel,122810.0,0.0,122810.0,68.19999695,74.09999847,0.0,227.18,1.0,88360.0,99.0,44.0,49.59999847,5401277.5,6088417.5,108.0
NonResidential,2944680.0,1.28,Hotel,47.61986,"Hotel, Parking",-122.34413,2339663.0,LAKE UNION,5.0,67.0,Hotel,70627.0,42546.0,113173.0,165.6999969,172.1000061,0.0,144.79,1.0,70627.0,86.0,74.80000305,76.90000153,5284343.5,5428403.5,57.0
NonResidential,3396109.0,1.33,Hotel,47.62001,Hotel,-122.34274,3319078.0,LAKE UNION,7.0,68.0,Hotel,115718.0,34735.0,150453.0,128.0,129.8000031,0.0,199.95,1.0,107547.0,84.0,60.70000076,61.79999924,6715187.0,6835263.5,16.0
NonResidential,3188457.0,1.4,Hotel,47.62025,Hotel,-122.34314,2639138.0,LAKE UNION,6.0,69.0,Hotel,88100.0,28200.0,116300.0,144.5,147.1000061,0.0,162.39,1.0,88490.0,80.0,65.90000153,67.09999847,5827595.5,5941927.0,19.0
NonResidential,4558937.0,0.98,Hotel,47.62023,Hotel,-122.35951,2277962.0,MAGNOLIA / QUEEN ANNE,6.0,70.0,Hotel,118858.0,36744.0,155602.0,107.4000015,107.5999985,0.0,152.76,1.0,155602.0,81.0,43.90000153,44.0,6836900.0,6849826.5,18.0
NonResidential,551867.0,2.61,K-12 School,47.63442,K-12 School,-122.30793,2682920.0,EAST,3.0,73.0,K-12 School,56072.0,0.0,56072.0,81.09999847,92.69999695,0.0,146.34,1.0,56072.0,76.0,57.70000076,67.80000305,3234787.75,3800842.5,105.0
NonResidential,2423730.0,1.4,Hotel,47.62519,"Hotel, Parking",-122.34456,2913604.0,MAGNOLIA / QUEEN ANNE,4.0,77.0,Hotel,78051.0,44891.0,122942.0,136.6999969,138.6999969,0.0,171.64,1.0,78051.0,94.0,68.40000153,69.0,5337334.0,5387530.0,17.0
NonResidential,1978230.0,1.6,Office,47.60823,Office,-122.30956,1396981.0,CENTRAL,2.0,82.0,Small- and Mid-Sized Office,54984.0,0.0,54984.0,139.6000061,144.5,0.0,87.98,1.0,54984.0,71.0,61.40000153,66.0,3375211.0,3630147.25,54.0
NonResidential,11824772.0,7.94,Senior Care Community,47.55837,"Parking, Senior Care Community",-122.37751,30967300.0,SOUTHWEST,5.0,84.0,Senior Care Community,217603.0,0.0,217603.0,235.0,244.8000031,0.0,1727.11,1.0,296313.0,54.0,144.3999939,153.6999969,42792072.0,45547252.0,94.0
NonResidential,5679498.0,6.52,Senior Care Community,47.72426,Senior Care Community,-122.35599,10723064.0,NORTHWEST,2.0,85.0,Senior Care Community,93397.0,0.0,93397.0,311.5,320.0,0.0,609.1,1.0,93397.0,1.0,175.6000061,181.6000061,16402563.0,16959754.0,46.0
NonResidential,2812688.0,0.8,Hotel,47.61988,"Hotel, Parking",-122.33211,893412.0,LAKE UNION,6.0,86.0,Hotel,63371.0,20732.0,84103.0,154.1999969,156.6999969,0.0,67.06,1.0,63371.0,74.0,58.5,59.79999924,3706100.25,3787499.0,8.0
School,600813.0,0.08,K-12 School,47.5097,K-12 School,-122.37759,0.0,SOUTHWEST,2.0,87.0,K-12 School,53352.0,0.0,53352.0,0.0,0.0,0.0,4.19,1.0,65568.0,99.66666666666667,0.0,0.0,0.0,0.0,68.0
NonResidential,9886484.0,2.41,Medical Office,47.61244,Medical Office,-122.3214,6814570.0,EAST,3.0,89.0,Medical Office,179014.0,0.0,179014.0,213.3999939,210.3000031,0.0,430.84,0.0,179014.0,48.0,93.30000305,92.30000305,16701055.0,16527711.0,51.0
NonResidential,2660742.0,3.43,Hotel,47.60898,Hotel,-122.32693,4598016.0,EAST,7.0,95.0,Hotel,76631.0,0.0,76631.0,172.0,171.6999969,0.0,262.75,1.0,76631.0,71.0,94.69999695,94.59999847,7258758.5,7250730.5,108.0
NonResidential,10145313.0,4.83,Medical Office,47.60845,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",-122.32637,0.0,EAST,6.0,96.0,Mixed Use Property,90439.0,9341.0,99780.0,505.7999878,504.2999878,5327802.5,481.97,1.0,40174.0,52.333333333333336,204.5,207.3000031,15473117.0,15684371.0,33.0
NonResidential,361803.0,0.67,Retail Store,47.62237,Retail Store,-122.33805,687945.0,LAKE UNION,2.0,98.0,Retail Store,58320.0,0.0,58320.0,25.79999924,28.79999924,0.0,39.06,1.0,72072.0,96.0,14.60000038,17.20000076,1049748.625,1243027.75,87.0
NonResidential,12871091.0,0.44,Office,47.62424,"Office, Other, Parking, Retail Store",-122.33646,924861.0,LAKE UNION,5.0,100.0,Large Office,316306.0,0.0,316306.0,144.0,144.3999939,0.0,138.85,1.0,261826.0,96.0,48.0,48.40000153,13795954.0,13909270.0,6.0
NonResidential,10980652.0,1.86,Hotel,47.62642,"Hotel, Parking",-122.33325,8478651.0,LAKE UNION,7.0,102.0,Hotel,238097.0,44766.0,282863.0,184.0,189.1999969,0.0,526.85,1.0,235788.0,37.0,82.5,85.59999847,19459304.0,20194606.0,26.0
NonResidential,14419146.0,1.56,Other,47.62208,Other,-122.35398,688680.0,MAGNOLIA / QUEEN ANNE,1.0,103.0,Other,389000.0,0.0,389000.0,151.6000061,152.1000061,6093150.0,607.41,1.0,368000.0,71.66666666666667,64.30000305,64.5,23658978.0,23736924.0,54.0
NonResidential,3754115.0,3.77,Other,47.62208,Other,-122.35398,0.0,MAGNOLIA / QUEEN ANNE,1.0,104.0,Other,91213.0,0.0,91213.0,261.7000122,265.3999939,4120130.0,344.2,1.0,65000.0,67.66666666666667,125.1999969,125.9000015,8141155.5,8181881.0,54.0
NonResidential,7252325.0,2.03,Other,47.62208,Other,-122.35398,0.0,MAGNOLIA / QUEEN ANNE,5.0,106.0,Other,396085.0,0.0,396085.0,138.1000061,140.0,9763690.0,804.2,1.0,278500.0,57.0,75.19999695,76.30000305,20955026.0,21257836.0,78.0
NonResidential,32206199.0,1.08,Office,47.62112,"Office, Other, Parking",-122.33629,7399685.0,LAKE UNION,12.0,107.0,Large Office,571329.0,0.0,571329.0,174.1999969,176.3999939,0.0,617.52,1.0,598801.0,91.0,63.40000153,64.19999695,39605888.0,40153432.0,6.0
NonResidential,1293349.0,1.96,Other,47.62395,Other,-122.35077,0.0,MAGNOLIA / QUEEN ANNE,2.0,110.0,Other,52000.0,0.0,52000.0,110.4000015,109.5,1202380.0,101.83,1.0,52000.0,54.666666666666664,52.40000153,51.59999847,2726369.0,2682242.75,54.0
NonResidential,875943.0,0.1,Other,47.62395,Other,-122.35077,0.0,MAGNOLIA / QUEEN ANNE,1.0,111.0,Other,60696.0,0.0,60696.0,25.5,25.5,0.0,6.11,1.0,108000.0,60.666666666666664,8.100000381,8.100000381,875943.3125,875943.3125,88.0
NonResidential,13512686.0,1.87,Other,47.62395,Other,-122.35143,0.0,MAGNOLIA / QUEEN ANNE,2.0,112.0,Other,262048.0,0.0,262048.0,171.1999969,175.1999969,5137220.0,490.73,1.0,296000.0,59.0,70.0,70.30000305,20723248.0,20823520.0,88.0
NonResidential,4166305.0,0.44,Office,47.62391,"Data Center, Distribution Center, Office, Parking, Retail Store",-122.34837,0.0,MAGNOLIA / QUEEN ANNE,2.0,113.0,Small- and Mid-Sized Office,63888.0,2352.0,66240.0,235.1999969,236.6000061,0.0,29.04,0.0,45900.0,45.666666666666664,74.90000153,75.40000153,4166306.25,4192107.75,30.0
NonResidential,27597261.0,0.73,Office,47.62419,"Office, Other, Parking",-122.34443,9069780.0,MAGNOLIA / QUEEN ANNE,6.0,114.0,Large Office,616891.0,303707.0,920598.0,130.8000031,131.6000061,0.0,674.09,1.0,729584.0,93.0,49.79999924,51.79999924,36667044.0,38105108.0,6.0
NonResidential,2944692.0,0.64,Office,47.62053,"Office, Other, Parking",-122.35842,531520.0,MAGNOLIA / QUEEN ANNE,4.0,115.0,Small- and Mid-Sized Office,50283.0,25930.0,76213.0,192.3999939,196.0,0.0,48.76,1.0,48546.0,68.0,68.19999695,71.59999847,3476212.5,3647345.75,46.0
NonResidential,2637011.0,1.57,Hotel,47.62291,"Hotel, Parking",-122.35708,2518558.0,MAGNOLIA / QUEEN ANNE,6.0,116.0,Hotel,59976.0,36934.0,96910.0,182.1999969,188.3999939,0.0,152.14,1.0,59976.0,56.0,86.0,87.90000153,5155568.5,5274523.0,14.0
NonResidential,2128306.0,3.82,Hotel,47.65772,"Hotel, Swimming Pool",-122.31756,3320669.0,NORTHEAST,4.0,117.0,Hotel,50017.0,0.0,50017.0,203.3000031,205.8000031,0.0,191.2,2.0,50017.0,53.0,108.9000015,110.5,5448975.0,5528580.5,54.0
School,1698176.0,0.16,K-12 School,47.5636,K-12 School,-122.358,0.0,DELRIDGE,3.0,118.0,K-12 School,74468.0,0.0,74468.0,0.0,0.0,0.0,11.84,1.0,75364.0,99.66666666666667,0.0,0.0,0.0,0.0,17.0
NonResidential,1337786.0,1.16,K-12 School,47.62548,K-12 School,-122.30828,1309093.0,EAST,3.0,119.0,K-12 School,67743.0,0.0,67743.0,82.30000305,89.30000305,0.0,78.85,1.0,67743.0,34.0,39.09999847,44.79999924,2646879.0,3036464.0,93.0
NonResidential,1887893.0,1.25,K-12 School,47.62644,K-12 School,-122.30429,4331949.0,EAST,6.0,120.0,K-12 School,194104.0,0.0,194104.0,54.0,60.09999847,0.0,243.23,1.0,194104.0,100.0,32.0,37.09999847,6219841.5,7204080.0,108.0
NonResidential,4897760.0,0.34,Office,47.58408,"Office, Parking",-122.30125,0.0,SOUTHEAST,3.0,121.0,Small- and Mid-Sized Office,63681.0,35752.0,99433.0,241.5,245.6000061,0.0,34.14,1.0,63681.0,63.0,76.90000153,78.19999695,4897760.0,4980737.5,13.0
School,2347138.0,0.28,K-12 School,47.57324,K-12 School,-122.29058,0.0,SOUTHEAST,2.0,122.0,K-12 School,58933.0,0.0,58933.0,0.0,0.0,0.0,16.36,1.0,60725.0,99.66666666666667,0.0,0.0,0.0,0.0,25.0
School,2262820.0,1.82,K-12 School,47.56413,K-12 School,-122.31208,4193207.0,GREATER DUWAMISH,1.0,125.0,K-12 School,130862.0,0.0,130862.0,85.59999847,93.5,0.0,238.48,1.0,134446.0,61.0,48.0,54.29999924,6456026.0,7300977.5,59.0
School,1436416.0,0.34,K-12 School,47.55478,K-12 School,-122.27596,196983.0,SOUTHEAST,3.0,127.0,K-12 School,59955.0,0.0,59955.0,78.69999695,83.0,0.0,20.48,1.0,59955.0,93.0,27.20000076,29.20000076,1633399.375,1749171.25,27.0
School,1486758.0,0.91,K-12 School,47.63683,K-12 School,-122.35896,1400634.0,MAGNOLIA / QUEEN ANNE,2.0,130.0,K-12 School,93218.0,0.0,93218.0,65.90000153,70.80000305,0.0,84.75,1.0,93218.0,86.0,31.0,34.5,2887392.0,3216155.0,52.0
NonResidential,6357631.0,0.78,Other,47.67524,Other,-122.31534,0.0,NORTHEAST,4.0,131.0,Other,56521.0,0.0,56521.0,407.3999939,408.0,0.0,44.32,1.0,49000.0,62.666666666666664,129.6999969,129.8999939,6357632.0,6367210.0,75.0
NonResidential,2001103.0,0.65,Other,47.67559,"Other, Parking",-122.31769,2252474.0,NORTHEAST,2.0,132.0,Other,206934.0,0.0,206934.0,72.59999847,72.90000153,0.0,133.58,1.0,119146.0,83.33333333333333,35.70000076,36.79999924,4253577.5,4384625.5,87.0
